category,horizon_min,prob_bin,n,predicted_mean,observed_yes_rate,volume_mean
Technology,30,"[0.1,0.2)",8,0.160625,0.375,113156.590047125
Technology,30,"[0.2,0.3)",11,0.24818181818181817,0.45454545454545453,234545.6085645455
Technology,30,"[0.3,0.4)",7,0.3392857142857143,0.42857142857142855,138858.8516082857
Technology,30,"[0.4,0.5)",2,0.44999999999999996,0.5,124838.85574300002
Technology,30,"[0.6,0.7)",2,0.605,0.5,113340.87884999998
Technology,30,"[0.7,0.8)",1,0.74,1.0,177944.47075699986
Technology,30,"[0.9,1.0]",6,0.9718333333333334,1.0,451950.56896633306
Uncategorized,30,"[0.0,0.1)",99,0.008348484848484848,0.010101010101010102,243045.13575985865
Uncategorized,30,"[0.1,0.2)",9,0.14727777777777776,0.2222222222222222,227061.4194957778
Uncategorized,30,"[0.2,0.3)",21,0.24685714285714286,0.38095238095238093,135987.35787023813
Uncategorized,30,"[0.3,0.4)",19,0.3563157894736842,0.21052631578947367,224862.95294826312
Uncategorized,30,"[0.4,0.5)",48,0.4675,0.4791666666666667,166297.8469182083
Uncategorized,30,"[0.5,0.6)",718,0.5056545961002785,0.479108635097493,132213.40566665726
Uncategorized,30,"[0.6,0.7)",16,0.65325,0.375,380173.65973518864
Uncategorized,30,"[0.7,0.8)",8,0.7424999999999999,0.625,179087.10596925014
Uncategorized,30,"[0.8,0.9)",3,0.8223333333333334,0.3333333333333333,108226.9868506667
Uncategorized,30,"[0.9,1.0]",33,0.9949696969696971,1.0,207196.08071012117
World,30,"[0.0,0.1)",20,0.009775,0.0,7762270.15777638
World,30,"[0.1,0.2)",3,0.13016666666666665,0.3333333333333333,314413.85853566683
World,30,"[0.3,0.4)",1,0.385,1.0,494969.5141210011
World,30,"[0.4,0.5)",1,0.405,1.0,207996.5592179997
World,30,"[0.5,0.6)",2,0.5375,0.0,135269.06905249995
Crypto,60,"[0.0,0.1)",218,0.00953440366972477,0.0045871559633027525,758971.6307314622
Crypto,60,"[0.1,0.2)",15,0.14273333333333332,0.2,267283.16031999985
Crypto,60,"[0.2,0.3)",8,0.23081249999999998,0.125,254445.38580950003
Crypto,60,"[0.3,0.4)",11,0.3559090909090909,0.36363636363636365,291952.75554990914
Crypto,60,"[0.4,0.5)",54,0.485462962962963,0.5370370370370371,141318.61753457398
Crypto,60,"[0.5,0.6)",2768,0.504188764450867,0.5043352601156069,139745.7836981841
Crypto,60,"[0.6,0.7)",8,0.6505625,0.5,308318.2959668748
Crypto,60,"[0.7,0.8)",5,0.753,0.8,601009.6265130003
Crypto,60,"[0.8,0.9)",7,0.8505,0.5714285714285714,294247.72921900015
Crypto,60,"[0.9,1.0]",70,0.9878142857142858,1.0,590689.0676262578
Culture,60,"[0.0,0.1)",138,0.007750000000000001,0.0,518685.3314944631
Culture,60,"[0.1,0.2)",6,0.14616666666666667,0.3333333333333333,1077814.7939189968
Culture,60,"[0.2,0.3)",5,0.23020000000000002,0.0,903576.6082755994
Culture,60,"[0.4,0.5)",6,0.45,0.6666666666666666,358715.4976986673
Culture,60,"[0.5,0.6)",4,0.556,0.75,1196298.6766854993
Culture,60,"[0.6,0.7)",4,0.66025,0.75,866235.2562892465
Culture,60,"[0.7,0.8)",3,0.7200000000000001,0.6666666666666666,588816.1272496672
Culture,60,"[0.9,1.0]",7,0.9821428571428571,1.0,185889.16751471418
Economy,60,"[0.0,0.1)",67,0.003216417910447761,0.0,4332882.580411004
Economy,60,"[0.3,0.4)",2,0.355,1.0,428769.5026505004
Economy,60,"[0.4,0.5)",7,0.45357142857142857,0.42857142857142855,259388.29006585703
Economy,60,"[0.5,0.6)",6,0.53,0.5,205126.39156000005
Economy,60,"[0.9,1.0]",7,0.9960714285714286,1.0,685809.1548461441
Politics,60,"[0.0,0.1)",123,0.008264227642276422,0.016260162601626018,2225253.8455144637
Politics,60,"[0.1,0.2)",8,0.13043749999999998,0.0,1486620.5284692377
Politics,60,"[0.2,0.3)",5,0.2426,0.4,761549.8570158
Politics,60,"[0.3,0.4)",1,0.38,0.0,2529733.761407997
Politics,60,"[0.5,0.6)",2,0.5429999999999999,0.5,3452683.0803314988
Politics,60,"[0.6,0.7)",2,0.6325000000000001,1.0,1206909.6179465048
Politics,60,"[0.7,0.8)",2,0.7642500000000001,1.0,299002.6735699998
Politics,60,"[0.8,0.9)",1,0.835,1.0,137119.05110599997
Politics,60,"[0.9,1.0]",14,0.9893928571428571,1.0,2023665.2530817208
Science,60,"[0.0,0.1)",1,0.0035,0.0,182372.520717
Science,60,"[0.1,0.2)",1,0.119,0.0,220988.61608399983
Sports,60,"[0.0,0.1)",189,0.010087301587301587,0.0,447691.04973622225
Sports,60,"[0.1,0.2)",59,0.15197457627118643,0.2711864406779661,876196.4633768776
Sports,60,"[0.2,0.3)",112,0.2552455357142857,0.3392857142857143,744991.2219448036
Sports,60,"[0.3,0.4)",138,0.3502898550724638,0.391304347826087,775017.734655753
Sports,60,"[0.4,0.5)",342,0.45960526315789474,0.5175438596491229,729172.8583242311
Sports,60,"[0.5,0.6)",339,0.5352949852507375,0.5162241887905604,583852.8629541115
Sports,60,"[0.6,0.7)",119,0.648235294117647,0.5714285714285714,613552.4334901173
Sports,60,"[0.7,0.8)",73,0.7473972602739727,0.6575342465753424,770892.7818688354
Sports,60,"[0.8,0.9)",54,0.8424999999999999,0.8518518518518519,711135.9279652045
Sports,60,"[0.9,1.0]",163,0.9938220858895706,1.0,394419.5556483436
Technology,60,"[0.0,0.1)",61,0.011549180327868853,0.04918032786885246,393899.2651654272
Technology,60,"[0.1,0.2)",9,0.14055555555555554,0.4444444444444444,110522.69033011112
Technology,60,"[0.2,0.3)",8,0.23,0.375,288007.17107625003
Technology,60,"[0.3,0.4)",10,0.319,0.4,128431.83115390001
Technology,60,"[0.4,0.5)",1,0.42,0.0,107163.36625000002
Technology,60,"[0.5,0.6)",2,0.55225,1.0,139457.66517099997
